date,region,production
2001-01-01,east_north_central,402.0
2001-02-01,east_north_central,348.0
2001-03-01,east_north_central,387.0
2001-04-01,east_north_central,372.0
2001-05-01,east_north_central,367.0
2001-06-01,east_north_central,365.0
2001-07-01,east_north_central,417.0
2001-08-01,east_north_central,430.0
2001-09-01,east_north_central,384.0
2001-10-01,east_north_central,420.0
2001-11-01,east_north_central,402.0
2001-12-01,east_north_central,394.0
2002-01-01,east_north_central,366.0
2002-02-01,east_north_central,282.0
2002-03-01,east_north_central,379.0
2002-04-01,east_north_central,355.0
2002-05-01,east_north_central,334.0
2002-06-01,east_north_central,328.0
2002-07-01,east_north_central,382.0
2002-08-01,east_north_central,386.0
2002-09-01,east_north_central,377.0
2002-10-01,east_north_central,356.0
2002-11-01,east_north_central,341.0
2002-12-01,east_north_central,342.0
2003-01-01,east_north_central,463.0
2003-02-01,east_north_central,424.0
2003-03-01,east_north_central,446.0
2003-04-01,east_north_central,410.0
2003-05-01,east_north_central,394.0
2003-06-01,east_north_central,382.0
2003-07-01,east_north_central,440.0
2003-08-01,east_north_central,454.0
2003-09-01,east_north_central,412.0
2003-10-01,east_north_central,425.0
2003-11-01,east_north_central,414.0
2003-12-01,east_north_central,437.0
2004-01-01,east_north_central,403.0
2004-02-01,east_north_central,401.0
2004-03-01,east_north_central,411.0
2004-04-01,east_north_central,409.0
2004-05-01,east_north_central,382.0
2004-06-01,east_north_central,383.0
2004-07-01,east_north_central,465.0
2004-08-01,east_north_central,447.0
2004-09-01,east_north_central,437.0
2004-10-01,east_north_central,445.0
2004-11-01,east_north_central,433.0
2004-12-01,east_north_central,442.0
2005-01-01,east_north_central,394.0
2005-02-01,east_north_central,373.0
2005-03-01,east_north_central,415.0
2005-04-01,east_north_central,399.0
2005-05-01,east_north_central,404.0
2005-06-01,east_north_central,415.0
2005-07-01,east_north_central,427.0
2005-08-01,east_north_central,436.0
2005-09-01,east_north_central,408.0
2005-10-01,east_north_central,424.0
2005-11-01,east_north_central,409.0
2005-12-01,east_north_central,469.0
2006-01-01,east_north_central,450.0
2006-02-01,east_north_central,405.0
2006-03-01,east_north_central,439.0
2006-04-01,east_north_central,410.0
2006-05-01,east_north_central,437.0
2006-06-01,east_north_central,420.0
2006-07-01,east_north_central,440.0
2006-08-01,east_north_central,458.0
2006-09-01,east_north_central,415.0
2006-10-01,east_north_central,454.0
2006-11-01,east_north_central,452.0
2006-12-01,east_north_central,455.0
2007-01-01,east_north_central,434.0
2007-02-01,east_north_central,392.0
2007-03-01,east_north_central,422.0
2007-04-01,east_north_central,450.0
2007-05-01,east_north_central,503.0
2007-06-01,east_north_central,469.0
2007-07-01,east_north_central,467.0
2007-08-01,east_north_central,471.0
2007-09-01,east_north_central,497.0
2007-10-01,east_north_central,563.0
2007-11-01,east_north_central,515.0
2007-12-01,east_north_central,514.0
2008-01-01,east_north_central,705.0
2008-02-01,east_north_central,632.0
2008-03-01,east_north_central,632.0
2008-04-01,east_north_central,690.0
2008-05-01,east_north_central,705.0
2008-06-01,east_north_central,693.0
2008-07-01,east_north_central,601.0
2008-08-01,east_north_central,578.0
2008-09-01,east_north_central,599.0
2008-10-01,east_north_central,810.0
2008-11-01,east_north_central,870.0
2008-12-01,east_north_central,1000.0
2009-01-01,east_north_central,854.0
2009-02-01,east_north_central,961.0
2009-03-01,east_north_central,971.0
2009-04-01,east_north_central,1006.0
2009-05-01,east_north_central,872.0
2009-06-01,east_north_central,726.0
2009-07-01,east_north_central,674.0
2009-08-01,east_north_central,761.0
2009-09-01,east_north_central,591.0
2009-10-01,east_north_central,955.0
2009-11-01,east_north_central,1169.0
2009-12-01,east_north_central,1292.0
2010-01-01,east_north_central,1244.0
2010-02-01,east_north_central,959.0
2010-03-01,east_north_central,1231.0
2010-04-01,east_north_central,1470.0
2010-05-01,east_north_central,1215.0
2010-06-01,east_north_central,913.0
2010-07-01,east_north_central,869.0
2010-08-01,east_north_central,838.0
2010-09-01,east_north_central,1191.0
2010-10-01,east_north_central,1416.0
2010-11-01,east_north_central,1627.0
2010-12-01,east_north_central,1417.0
2011-01-01,east_north_central,1327.0
2011-02-01,east_north_central,1604.0
2011-03-01,east_north_central,1536.0
2011-04-01,east_north_central,1790.0
2011-05-01,east_north_central,1421.0
2011-06-01,east_north_central,1234.0
2011-07-01,east_north_central,914.0
2011-08-01,east_north_central,915.0
2011-09-01,east_north_central,1171.0
2011-10-01,east_north_central,1407.0
2011-11-01,east_north_central,2105.0
2011-12-01,east_north_central,1727.0
2012-01-01,east_north_central,2214.0
2012-02-01,east_north_central,1677.0
2012-03-01,east_north_central,2109.0
2012-04-01,east_north_central,1984.0
2012-05-01,east_north_central,1604.0
2012-06-01,east_north_central,1526.0
2012-07-01,east_north_central,1137.0
2012-08-01,east_north_central,1080.0
2012-09-01,east_north_central,1329.0
2012-10-01,east_north_central,2007.0
2012-11-01,east_north_central,1665.0
2012-12-01,east_north_central,2335.0
2013-01-01,east_north_central,2787.0
2013-02-01,east_north_central,2133.0
2013-03-01,east_north_central,2369.0
2013-04-01,east_north_central,2598.0
2013-05-01,east_north_central,2074.0
2013-06-01,east_north_central,1577.0
2013-07-01,east_north_central,1329.0
2013-08-01,east_north_central,1193.0
2013-09-01,east_north_central,1527.0
2013-10-01,east_north_central,2010.0
2013-11-01,east_north_central,2877.0
2013-12-01,east_north_central,2414.0
2014-01-01,east_north_central,3083.0
2014-02-01,east_north_central,2230.0
2014-03-01,east_north_central,2613.0
2014-04-01,east_north_central,2695.0
2014-05-01,east_north_central,2254.0
2014-06-01,east_north_central,1766.0
2014-07-01,east_north_central,1593.0
2014-08-01,east_north_central,1274.0
2014-09-01,east_north_central,1490.0
2014-10-01,east_north_central,2237.0
2014-11-01,east_north_central,3061.0
2014-12-01,east_north_central,2353.0
2015-01-01,east_north_central,2669.0
2015-02-01,east_north_central,2453.0
2015-03-01,east_north_central,2653.0
2015-04-01,east_north_central,2714.0
2015-05-01,east_north_central,2438.0
2015-06-01,east_north_central,1703.0
2015-07-01,east_north_central,1479.0
2015-08-01,east_north_central,1547.0
2015-09-01,east_north_central,1793.0
2015-10-01,east_north_central,3012.0
2015-11-01,east_north_central,3291.0
2015-12-01,east_north_central,3191.0
2016-01-01,east_north_central,3237.0
2016-02-01,east_north_central,2984.0
2016-03-01,east_north_central,2789.0
2016-04-01,east_north_central,2560.0
2016-05-01,east_north_central,2314.0
2016-06-01,east_north_central,1802.0
2016-07-01,east_north_central,1515.0
2016-08-01,east_north_central,1289.0
2016-09-01,east_north_central,1879.0
2016-10-01,east_north_central,2477.0
2016-11-01,east_north_central,2831.0
2016-12-01,east_north_central,3281.0
2017-01-01,east_north_central,2891.0
2017-02-01,east_north_central,3051.0
2017-03-01,east_north_central,3259.0
2017-04-01,east_north_central,3178.0
2017-05-01,east_north_central,2795.0
2017-06-01,east_north_central,2461.0
2017-07-01,east_north_central,1507.0
2017-08-01,east_north_central,1407.0
2017-09-01,east_north_central,1614.0
2017-10-01,east_north_central,3048.0
2017-11-01,east_north_central,3300.0
2017-12-01,east_north_central,3415.0
2018-01-01,east_north_central,4043.0
2018-02-01,east_north_central,3034.0
2018-03-01,east_north_central,3386.0
2018-04-01,east_north_central,2841.0
2018-05-01,east_north_central,2496.0
2018-06-01,east_north_central,1877.0
2018-07-01,east_north_central,1721.0
2018-08-01,east_north_central,1783.0
