State,Latitude,Longitude,state,production
AL,32.6010112,-86.6807365,alabama,0.0
AK,61.3025006,-158.7750198,alaska,1546.0
AZ,34.1682185,-111.930907,arizona,8627.0
AR,34.7519275,-92.1313784,arkansas,0.0
CA,37.2718745,-119.2704153,california,204310.0
CO,38.9979339,-105.550567,colorado,133850.0
CT,41.5187835,-72.757507,connecticut,87.0
DE,39.145251,-75.4189206,delaware,48.0
DC,38.8993487,-77.0145666,district_of_columbia,0.0
FL,27.9757279,-83.8330166,florida,1.0
GA,32.6781248,-83.2229757,georgia,0.0
HI,20.46,-157.505,hawaii,7795.0
ID,45.4945756,-114.1424303,idaho,31231.0
IL,39.739318,-89.504139,illinois,167133.0
IN,39.7662195,-86.441277,indiana,69995.0
IA,41.9383166,-93.389798,iowa,318244.0
KS,38.4987789,-98.3200779,kansas,208715.0
KY,37.8222935,-85.7682399,kentucky,0.0
LA,30.9733766,-91.4299097,louisiana,0.0
ME,45.2185133,-69.0148656,maine,23111.0
MD,38.8063524,-77.2684162,maryland,5531.0
MA,42.0629398,-71.718067,massachusetts,2403.0
MI,44.9435598,-86.4158049,michigan,60199.0
MN,46.4418595,-93.3655146,minnesota,150496.0
MS,32.5851062,-89.8772196,mississippi,0.0
MO,38.3046615,-92.437099,missouri,34959.0
MT,46.6797995,-110.044783,montana,31907.0
NE,41.5008195,-99.680902,nebraska,66948.0
NV,38.502032,-117.0230604,nevada,3382.0
NH,44.0012306,-71.5799231,new_hampshire,4906.0
NJ,40.1430058,-74.7311156,new_jersey,314.0
NM,34.1662325,-106.0260685,new_mexico,76557.0
NY,40.7056258,-73.97968,new_york,56206.0
NC,35.2145629,-79.8912675,north_carolina,3247.0
ND,47.4678819,-100.3022655,north_dakota,128390.0
OH,40.1903624,-82.6692525,ohio,20046.0
OK,35.3097654,-98.7165585,oklahoma,271012.0
OR,44.1419049,-120.5380993,oregon,103475.0
PA,40.9945928,-77.6046984,pennsylvania,45032.0
RI,41.5827282,-71.5064508,rhode_island,1216.0
SC,33.62505,-80.9470381,south_carolina,0.0
SD,44.2126995,-100.2471641,south_dakota,54410.0
TN,35.830521,-85.9785989,tennessee,727.0
TX,31.1693363,-100.0768425,texas,888109.0
UT,39.4997605,-111.547028,utah,9521.0
VT,43.8717545,-72.4477828,vermont,3660.0
VA,38.0033855,-79.4587861,virginia,112.0
WA,38.8993487,-77.0145665,washington,110823.0
WV,38.9201705,-80.1816905,west_virginia,22095.0
WI,44.7862968,-89.8267049,wisconsin,22905.0
WY,43.000325,-107.5545669,wyoming,74868.0
