date,region,production,month,year
2001-01-01,east_north_central,4.0,jan,2001
2001-02-01,east_north_central,4.0,feb,2001
2001-03-01,east_north_central,3.0,mar,2001
2001-04-01,east_north_central,5.0,apr,2001
2001-05-01,east_north_central,4.0,may,2001
2001-06-01,east_north_central,4.0,jun,2001
2001-07-01,east_north_central,4.0,jul,2001
2001-08-01,east_north_central,4.0,ago,2001
2001-09-01,east_north_central,6.0,sep,2001
2001-10-01,east_north_central,12.0,oct,2001
2001-11-01,east_north_central,11.0,nov,2001
2001-12-01,east_north_central,10.0,dec,2001
2002-01-01,east_north_central,5.0,jan,2002
2002-02-01,east_north_central,6.0,feb,2002
2002-03-01,east_north_central,5.0,mar,2002
2002-04-01,east_north_central,5.0,apr,2002
2002-05-01,east_north_central,4.0,may,2002
2002-06-01,east_north_central,2.0,jun,2002
2002-07-01,east_north_central,2.0,jul,2002
2002-08-01,east_north_central,2.0,ago,2002
2002-09-01,east_north_central,3.0,sep,2002
2002-10-01,east_north_central,3.0,oct,2002
2002-11-01,east_north_central,4.0,nov,2002
2002-12-01,east_north_central,5.0,dec,2002
2003-01-01,east_north_central,7.0,jan,2003
2003-02-01,east_north_central,10.0,feb,2003
2003-03-01,east_north_central,12.0,mar,2003
2003-04-01,east_north_central,12.0,apr,2003
2003-05-01,east_north_central,10.0,may,2003
2003-06-01,east_north_central,7.0,jun,2003
2003-07-01,east_north_central,8.0,jul,2003
2003-08-01,east_north_central,6.0,ago,2003
2003-09-01,east_north_central,10.0,sep,2003
2003-10-01,east_north_central,10.0,oct,2003
2003-11-01,east_north_central,13.0,nov,2003
2003-12-01,east_north_central,14.0,dec,2003
2004-01-01,east_north_central,11.0,jan,2004
2004-02-01,east_north_central,13.0,feb,2004
2004-03-01,east_north_central,21.0,mar,2004
2004-04-01,east_north_central,20.0,apr,2004
2004-05-01,east_north_central,18.0,may,2004
2004-06-01,east_north_central,10.0,jun,2004
2004-07-01,east_north_central,7.0,jul,2004
2004-08-01,east_north_central,9.0,ago,2004
2004-09-01,east_north_central,13.0,sep,2004
2004-10-01,east_north_central,20.0,oct,2004
2004-11-01,east_north_central,17.0,nov,2004
2004-12-01,east_north_central,26.0,dec,2004
2005-01-01,east_north_central,15.0,jan,2005
2005-02-01,east_north_central,15.0,feb,2005
2005-03-01,east_north_central,20.0,mar,2005
2005-04-01,east_north_central,21.0,apr,2005
2005-05-01,east_north_central,18.0,may,2005
2005-06-01,east_north_central,13.0,jun,2005
2005-07-01,east_north_central,9.0,jul,2005
2005-08-01,east_north_central,6.0,ago,2005
2005-09-01,east_north_central,14.0,sep,2005
2005-10-01,east_north_central,16.0,oct,2005
2005-11-01,east_north_central,27.0,nov,2005
2005-12-01,east_north_central,75.0,dec,2005
2006-01-01,east_north_central,32.0,jan,2006
